cluster_id,cluster_representative,domain_count,description
1,0a.ee,12949,Zone - veebiserver puudub
2,0365.ee,7823,Tühi leht
3,onn.ee,3001,Tühi leht
4,100fm.ee,2247,"Zone - ""Leht mida sa otsisid on siit serverist kas ära kolitud või ära kustutatud."""
5,10eurot.ee,1810,veebimajutus.ee - veebiserver puudub
6,teave.ee,1761,dan.com - domeen müügis
7,kasskass.ee,1128,Zone - statusCode 403
8,100beers.ee,833,"Radicenter - veebiserver puudub (""Pargitud domeen"")"
9,123media.ee,508,Interneto vizja (leedu veebimajutus) - veebiserver puudub
10,ehitusprojekt24.ee,440,Voog - tühi või vähese sisuga leht
11,abbability.com.ee,407,Tühi leht
12,abaktiva.ee,390,Voog - statusCode 403
13,08.ee,381,netim.com - veebiserver puudub
14,108.ee,346,Zone - statusCode 503
15,abcreklaam.ee,325,wix.com - leht puudub
16,7plus.ee,319,Telia - veebiserver puudub
17,3t.ee,302,Zone - statusCode 401
18,040.ee,277,sedo.com - domeen müügis
19,raadiosaatjarent.ee,274,Wordpress vaikeleht
20,123autorent.ee,235,domeenipood.ee - domeen müügis
21,brando.ee,232,"""Index of"" kataloogileht"
22,844projekt.ee,216,Radicenter - veebiserver puudub
23,digikodu.ee,186,statusCode 403
24,addyourlogo.ee,180,marcaria.com - veebiserver puudub
25,10d.ee,172,gandi.net - domeen müügis
26,3d3.ee,161,weebly.com - leht
27,alendatrade.ee,148,virtuaal.com - veebiserver puudub
28,3fins.com.ee,146,markmonitor.com - vaikeleht
29,1kontakt.ee,131,-
30,airex.ee,129,Apache2 veebiserveri vaikeleht
31,1autoabi.ee,124,weebly.com - leht
32,bigmart.ee,117,OVH SAS - statusCode 404
33,webemad.ee,117,-
34,autokaamerad.ee,102,dan.com - domeen müügis
35,vale.ee,98,
36,cvrebuilding.ee,95,
37,dyn.ee,92,
38,1propert.ee,91,
39,allarveelmaa.ee,89,
40,puitmaterjalid.ee,86,
41,arcturus.ee,85,
42,positiveconcepts.ee,82,
43,teinemina.ee,82,
44,0rlenlietuva.ee,80,
45,zn.ee,79,
46,activestudio.ee,78,
47,100lippu.ee,76,
48,annlii.ee,72,
49,actionboy.ee,69,
50,kukulinnatall.ee,69,
51,almalasers.ee,68,
52,adrexpharma.ee,67,
53,artrocenter.ee,67,
54,batterycity.ee,67,
