country,count
Estonia,93281
United States,9125
Germany,7077
Netherlands,2193
Finland,2032
Lithuania,1775
France,1532
United Kingdom,880
Canada,862
Russia,837
Sweden,660
Ireland,572
Latvia,553
Hong Kong,454
Poland,435
Luxembourg,243
Czechia,199
Switzerland,133
Spain,132
Ukraine,121
Denmark,111
Belgium,111
Italy,90
China,85
Gibraltar,82
undefined,77
South Africa,67
Norway,59
Bulgaria,55
Singapore,54
Austria,54
Cyprus,50
Japan,47
Slovakia,47
Australia,42
Belarus,41
Hungary,33
Isle of Man,32
South Korea,31
Romania,25
Slovenia,23
None,20
Turkey,17
Malta,16
British Virgin Islands,12
India,11
Iceland,10
Malaysia,9
Brazil,9
Taiwan,8
Belize,7
Israel,6
Croatia,5
Portugal,3
Georgia,2
Cayman Islands,2
Liechtenstein,2
Iran,2
Seychelles,1
Azerbaijan,1
New Zealand,1
Serbia,1
Bangladesh,1
Bosnia and Herzegovina,1
Moldova,1
Åland,1
Thailand,1
Kyrgyzstan,1
Tunisia,1
Saudi Arabia,1
Bahrain,1
Kazakhstan,1
