hosting,count
undefined,45526
"Zone (Zone Media OU AS49604)",34491
"Elkdata (Elkdata OU AS61189)",14552
"Radicenter (CITIC Telecom CPC Netherlands B.V. AS3327)",4196
"AMAZON-02 AS16509",3099
"Voog (Zone Media OU AS49604)",2361
"Telia Eesti AS AS3249",2265
"neti.ee (Telia Eesti AS AS3249)",2048
"Virtuaal.com OU AS205930",1717
"CLOUDFLARENET AS13335",1710
"Wavecom (Aktsiaselts WaveCom AS34702)",1708
"Wix.com Ltd. AS58182",1107
"UAB Rakrejus AS62282",1101
"Hetzner Online GmbH AS24940",1004
"UpCloud Ltd AS202053",706
"DIGITALOCEAN-ASN AS14061",691
"GOOGLE AS15169",656
"Compic OU AS39823",653
"OVH SAS AS16276",577
"CSC AS19574",529
"Shoproller (Zone Media OU AS49604)",448
"Elisa Eesti AS AS2586",378
"Avenir Telematique SAS AS24935",378
"Kernel AS AS39038",363
"Intermedia (Transip B.V. AS20857)",335
"Beehosting (CITIC Telecom CPC Netherlands B.V. AS3327)",306
"Information System Authority AS8240",293
"Team Internet AG AS61969",289
"SQUARESPACE AS53831",280
"Contabo GmbH AS51167",272
"AS INFONET AS8728",259
"Elitec (AS INFONET AS8728)",245
"UNIFIEDLAYER-AS-1 AS46606",244
"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK AS32787",243
"Hariduse Infotehnoloogia Sihtasutus AS3221",240
"WEEBLY AS27647",239
"MICROSOFT-CORP-MSN-AS-BLOCK AS8075",231
"INCAPSULA AS19551",223
"Hostinger International Limited AS47583",206
"DBweb (Telia Eesti AS AS3249)",200
"CITIC Telecom CPC Netherlands B.V. AS3327",199
"GANDI SAS AS29169",186
"Linode, LLC AS63949",177
"OU Web Hosting Solutions AS202759",173
"Web2 (Zone Media OU AS49604)",170
"P.a.g.m. Ou AS198068",167
"NSS (CITIC Telecom CPC Netherlands B.V. AS3327)",165
"FASTLY AS54113",164
"TELE2 AS1257",162
"AMAZON-AES AS14618",161
"DREAMHOST-AS AS26347",153
"Datacenter Luxembourg S.A. AS24611",151
"AUTOMATTIC AS2635",144
"Variti LLC AS64432",133
"Server Farm LLC AS202635",128
"NAMECHEAP-NET AS22612",122
"LeaseWeb Netherlands B.V. AS60781",114
"QSC AG AS15598",103
"InterNetX GmbH AS15456",97
"Webzilla B.V. AS35415",93
"Infonet Dc Oy AS205950",93
"Sia Nano IT AS43513",91
"Telia Lietuva, AB AS43811",89
"KEI.PL Sp. z o.o. AS29522",84
"SIA Digitalas Ekonomikas Attistibas Centrs AS12993",81
"Alibaba (US) Technology Co., Ltd. AS45102",77
"Host Europe GmbH AS21501",76
"AS STV AS61307",74
"TimeWeb Ltd. AS9123",74
"AS-CHOOPA AS20473",72
"Ekspress Grupp AS AS199328",72
"OU Interframe AS196743",71
"GleSYS AB AS43948",70
"Host Europe GmbH AS8972",70
"Beget LLC AS198610",69
"Data Invest sp. z o.o. S.K.A AS50599",67
"AS Postimees Grupp AS207254",65
"Nameshield SAS AS20756",62
"1&1 Ionos Se AS8560",62
"Edicy (Zone Media OU AS49604)",60
"Aktsiaselts WaveCom AS34702",57
"First Colo GmbH AS44066",56
"A2HOSTING AS55293",55
"HVC-AS AS29802",52
"Uus Programm AS204595",51
"Geenet OY AS203081",50
"Online S.a.s. AS12876",50
"Register S.p.A. AS39729",49
"UAB Cherry Servers AS16125",48
"OU cloud.ee AS61952",47
"SONICTEST Ltd. AS57873",47
"Domain names registrar REG.RU, Ltd AS197695",45
