hosting,count
"Zone (Zone Media OU AS49604)",46615
"Elkdata (Elkdata OU AS61189)",18933
"Radicenter (CITIC Telecom CPC Netherlands B.V. AS3327)",5641
"AMAZON-02 AS16509",4245
"Telia Eesti AS AS3249",3700
"Voog (Zone Media OU AS49604)",3163
"neti.ee (Telia Eesti AS AS3249)",2677
"CLOUDFLARENET AS13335",2286
"Virtuaal.com OU AS205930",2274
"Wavecom (Aktsiaselts WaveCom AS34702)",2241
"Wix.com Ltd. AS58182",1424
"Hetzner Online GmbH AS24940",1409
"UAB Rakrejus AS62282",1406
"DIGITALOCEAN-ASN AS14061",989
"GOOGLE AS15169",938
"UpCloud Ltd AS202053",932
"Compic OU AS39823",874
"OVH SAS AS16276",794
"CSC AS19574",726
NULL,649
"Elisa Eesti AS AS2586",608
"Shoproller (Zone Media OU AS49604)",551
"Avenir Telematique SAS AS24935",519
"Kernel AS AS39038",486
"Information System Authority AS8240",442
"Intermedia (Transip B.V. AS20857)",441
"CITIC Telecom CPC Netherlands B.V. AS3327",410
"Contabo GmbH AS51167",394
"Beehosting (CITIC Telecom CPC Netherlands B.V. AS3327)",389
"AS INFONET AS8728",372
"Hariduse Infotehnoloogia Sihtasutus AS3221",359
"SQUARESPACE AS53831",358
"Team Internet AG AS61969",354
"UNIFIEDLAYER-AS-1 AS46606",350
"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK AS32787",350
"Elitec (AS INFONET AS8728)",330
"MICROSOFT-CORP-MSN-AS-BLOCK AS8075",329
"WEEBLY AS27647",321
"INCAPSULA AS19551",300
"Hostinger International Limited AS47583",291
"GANDI SAS AS29169",260
"TELE2 AS1257",258
"DBweb (Telia Eesti AS AS3249)",258
"Linode, LLC AS63949",244
"FASTLY AS54113",238
"OU Web Hosting Solutions AS202759",238
"AMAZON-AES AS14618",231
"NSS (CITIC Telecom CPC Netherlands B.V. AS3327)",230
"P.a.g.m. Ou AS198068",227
"Datacenter Luxembourg S.A. AS24611",222
"Web2 (Zone Media OU AS49604)",222
"DREAMHOST-AS AS26347",216
"LeaseWeb Netherlands B.V. AS60781",187
"AUTOMATTIC AS2635",183
"Server Farm LLC AS202635",167
"NAMECHEAP-NET AS22612",155
"QSC AG AS15598",149
"Variti LLC AS64432",147
"Alibaba (US) Technology Co., Ltd. AS45102",142
"Elkdata (Telia Eesti AS AS3249)",136
"InterNetX GmbH AS15456",130
"Sia Nano IT AS43513",129
"Webzilla B.V. AS35415",128
"Infonet Dc Oy AS205950",121
"Telia Lietuva, AB AS43811",114
"Ekspress Grupp AS AS199328",110
"NETSEC AS45753",109
"AS-CHOOPA AS20473",108
"SIA Digitalas Ekonomikas Attistibas Centrs AS12993",103
"KEI.PL Sp. z o.o. AS29522",101
"Host Europe GmbH AS8972",100
"AS STV AS61307",98
"Host Europe GmbH AS21501",95
"1&1 Ionos Se AS8560",90
"GleSYS AB AS43948",87
"OU Interframe AS196743",86
"AS Postimees Grupp AS207254",86
"Data Invest sp. z o.o. S.K.A AS50599",86
"Nameshield SAS AS20756",86
"Aktsiaselts WaveCom AS34702",86
"Edicy (Zone Media OU AS49604)",85
"Elisa Teleteenused AS AS13272",85
"TimeWeb Ltd. AS9123",84
"Beget LLC AS198610",84
"A2HOSTING AS55293",81
"Ddos-guard Ltd AS57724",77
"Levira AS AS50794",77
"Online S.a.s. AS12876",76
"First Colo GmbH AS44066",76
"POWER LINE DATACENTER AS132839",73
"Uus Programm AS204595",72
"SONICTEST Ltd. AS57873",71
"HVC-AS AS29802",70
"Register S.p.A. AS39729",69
"Astrec Data OU AS201601",68
"Telia Inmics-Nebula Oy AS29422",67
"OU cloud.ee AS61952",65
"Geenet OY AS203081",64
"UAB Cherry Servers AS16125",64
"Domain names registrar REG.RU, Ltd AS197695",63
"VData Ltd AS13009",62
"SOFTLAYER AS36351",61
"Transip B.V. AS20857",58
"SIA Tet AS12578",56
"Institute of Mathematics and Computer Science of University of Latvia AS5538",54
"Telecitygroup International Limited AS15830",54
"TIGGEE AS16552",53
"20i Limited AS48254",52
"ITL LLC AS21100",52
"LEVEL3 AS3356",51
"Combell NV AS34762",50
"Euronic Oy AS201964",49
"ULTRADNS AS397213",48
"Garmtech Lp AS43108",47
"Rackspace Ltd. AS15395",47
"Loginet Solutions LLC AS60415",46
"CNSERVERS AS40065",46
"SINGLEHOP-LLC AS32475",45
"Vodafone GmbH AS3209",44
"GOOGLE-PRIVATE-CLOUD AS396982",44
"EPiServer AB AS30811",43
"Jsc ru-center AS48287",43
"Variti International GmbH AS42240",40
"Robert Bosch Gesellschaft mit Beschraenkter Haftung AS9183",40
"CASABLANCA INT a.s. AS15685",35
"GleSYS AB AS42708",35
"Tencent Building, Kejizhongyi Avenue AS132203",35
"SIA Latnet AS2588",34
"JSC The First AS29182",34
"ASN-DIS AS393398",34
"Binero AB AS35041",34
"InterNetworX Management GmbH AS48596",33
"Telia Finland Oyj AS1759",33
